[120, 368]: 0.0493
[205, 368]: 0.05171
[217, 368]: 0.06125
[217, 529]: 0.04854
[362, 368]: 0.04601
[368, 419]: 0.05569
[368, 438]: 0.05126
[368, 450]: 0.04655
[368, 489]: 0.0612
[368, 510]: 0.05716
[368, 529]: 0.075
[368, 682]: 0.0613
[368, 692]: 0.05867
[368, 720]: 0.05086
[368, 722]: 0.04856
[368, 766]: 0.04661
[368, 829]: 0.06957
[368, 895]: 0.04698
[368, 914]: 0.0556
[368, 937]: 0.05394
[419, 829]: 0.04801
[438, 489]: 0.04711
[438, 529]: 0.04891
[489, 529]: 0.04572
[489, 956]: 0.04617
[529, 692]: 0.05409
[529, 829]: 0.05638
[692, 829]: 0.04874
